id	track_name	artist	album	decade
1	West End Blues	Louis Armstrong	The Essential Louis Armstrong	1920
2	St Louis Blues	Bessie Smith	The Anthology	1920
3	Blue Yodel #1 (t For Texas)	Jimmie Rodgers	The Very Best Of	1920
4	Ain't Misbehavin	Fats Waller	1934-1943 - Ain't Misbehavin	1920
5	Wildwood Flower	A. P. Carter	The Carter Family 1927 - 1934 Disc A	1920
6	Dark Was the Night, Cold Was the Ground	Blind Willie Johnson	Dark Was The Night (Mojo Workin'- Blues For The Next Generation)	1920
7	Swanee	Various Artists	The Roaring 20s Year-By-Year: 1920 to 1929, The Number One Hits of the Decade	1920
8	Pony Blues	Charley Patton	Father Of Delta Blues	1920
9	Rhapsody In Blue	Various Artists	Greatest Hits Of The 20's	1920
10	Crazy Blues	Mamie Smith	Mamie Smith Vol. 1 (1920-1921)	1920
11	Black and Tan Fantasy	Duke Ellington	The Essential Duke Ellington	1920
12	Singin' The Blues	Bix Beiderbecke And Frankie Trumbauer	Bix And Tram	1920
13	See See Rider Blues - Remastered	Ma Rainey	Blues Legends: Ma Rainey	1920
14	Statesboro Blues	Blind Willie McTell	Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935	1920
15	In a Mist	Bix Beiderbecke	Bix Beiderbecke, Volume I: Singin' The Blues	1920
16	Pine Top's Boogie Woogie	Various Artists	Shake Your Wicked Knees: Classic Piano Rags, Blues & Stomps 1928 - 43	1920
17	Carolina Shout	Various Artists	Tiger Rag (Jazz Age - a Hommage to the Great Gatsby Era 1920 - 1923)	1920
18	Ol' Man River	Paul Robeson	Paul Robeson	1920
19	Matchbox Blues	Blind Lemon Jefferson	Blind Lemon Jefferson (The Big Blues Collection)	1920
20	Downhearted Blues	Bessie Smith	The Anthology	1920
21	Empty Bed Blues	Bessie Smith	Goddesses Of Blues - Bessie Smith	1920
22	Dippermouth Blues	Louis Armstrong	Louis Armstrong And King Oliver	1920
23	Stardust - Remastered 2002	Hoagy Carmichael	Stardust Melody	1920
24	Makin' Whoopee	Various Artists	The Naughty 1920s: Red Hot & Risque Songs of The Jazz Age, Vol. 1	1920
25	See That My Grave Is Kept Clean	Various Artists	The Roots of Jimi Hendrix	1920
26	Whispering	Various Artists	Roaring '20s Jazz	1920
27	Potato Head Blues - 78rpm Version	Louis Armstrong	The Essential Louis Armstrong	1920
28	How Long - How Long Blues	Leroy Carr	Leroy Carr Vol. 1 (1928-1929)	1920
29	Keep On The Sunny Side	Various Artists	The Best Of Bob Dylan's Theme Time Radio Hour	1920
30	Stack O' Lee	Various Artists	100 Blues Classics	1920
31	Struttin' with Some Barbecue - 78 rpm Version	Louis Armstrong	Columbia Original Masters	1920
32	St. James Infirmary	Louis Armstrong	The Complete Hot Five And Hot Seven Recordings Volume 3	1920
33	The Little Old Log Cabin In The Lane	Fiddlin John Carson	Fiddlin John Carson Vol. 1 1923 - 1924	1920
34	How Can A Poor Man Stand Such Times And Live - Remastered 2003	Various Artists	Poor Man's Heaven - Blues And Tales Of The Great Depression - When The Sun Goes Down Series	1920
35	My Man	Various Artists	Broadway: The American Musical	1920
36	Sally Gooden	Various Artists	Birth Of Bluegrass, Vol. 2	1920
37	St. Louis Blues - Vocal	Louis Armstrong	The Essential Louis Armstrong	1920
38	It's Tight Like That	Various Artists	Tampa Red	1920
39	My Mammy	Al Jolson	The Best Of Al Jolson	1920
40	King Porter Stomp	Jelly Roll Morton	Jelly Roll Morton 1923/24	1920
41	Honky Tonk Train Blues	Various Artists	Really the Blues?: A Blues History (1893-1959), Vol. 1 (1893-1929)	1920
42	Allons À Lafayette	Sampler	Cajun Music - Musique De La Louisane	1920
43	Fascinating Rhythm	George Gershwin	The Songs of George Gershwin	1920
44	Black Bottom Stomp	Jelly Roll Morton	A Jazz Hour With Jelly Roll Morton: Doctor Jazz	1920
45	Handful of Keys - Remastered 2000	Fats Waller	Fats Waller: Very Best of Fats Waller	1920
46	East St. Louis Toodle-Oo	Duke Ellington	The Essential Duke Ellington	1920
47	My Blue Heaven	Various Artists	Empire Boardwalk Jazz & Blues	1920
48	The Prisoner's Song	Various Artists	Roaring '20s Jazz	1920
49	Black Snake Moan	Blind Lemon Jefferson	Black Snake Moan	1920
50	Country Blues	Various Artists	American Folk Music	1920
51	Black And Blue	Louis Armstrong	The Essential Louis Armstrong	1920
52	Ain't Misbehavin'	Louis Armstrong	The Essential Louis Armstrong	1920
53	The Coo Coo Bird	Various Artists	American Folk Music	1920
54	Cool Drink of Water Blues	Tommy Johnson	Tommy Johnson 1928 - 1929	1920
55	Trouble in Mind	Bertha "Chippie" Hill	1920’s Vintage Jazz & Blues	1920
56	Frankie	Mississippi John Hurt	Frankie got the blues	1920
57	Don't Let Your Deal Go Down Blues (with The North Carolina Ramblers) - 78rpm Version	Various Artists	The Best Of Can't You Hear Me Callin' - Bluegrass: 80 Years Of American Music	1920
58	I Wanna Be Loved By You ( 1928 Version )	Helen Kane	I Wanna Be loved By You	1920
59	In the Jailhouse Now	Jimmie Rodgers	The Essential Jimmie Rodgers	1920
60	Nobody Knows You When You're Down and Out - 78rpm Version	Bessie Smith	The Essential Bessie Smith	1920
61	Pan American Blues	Various Artists	Vintage Novelty Songs	1920
